seq_name,nu,UniProt_ID,N,Features,N_Domain,Descriptions,Other_Descriptions,fdomain,Short_Descriptions,Other_Short_Descriptions,All_Short
A0AV02_405_594,0.506,A0AV02,190,,0.0,,,0.0,,,
A0AV02_1_40,0.557,A0AV02,40,,0.0,,,0.0,,,
A0AV02_647_714,0.513,A0AV02,68,,0.0,,,0.0,,,
A0AV96_1_30,0.595,A0AV96,30,,0.0,,,0.0,,,
A0AV96_318_593,0.5,A0AV96,276,,0.0,,,0.0,,,
A0AVF1_1_32,0.589,A0AVF1,32,,0.0,,,0.0,,,
A0AVI2_433_473,0.54,A0AVI2,41,,0.0,,,0.0,,,
A0AVI2_121_328,0.5,A0AVI2,208,Domain,133.0,"C2 2, C2 3",,0.6394230769230769,C2,,C2
A0AVI2_1927_2057,0.436,A0AVI2,131,,0.0,,,0.0,,,
A0AVI2_1336_1400,0.51,A0AVI2,65,Domain,10.0,C2 5,,0.1538461538461538,C2,,C2
A0AVI2_952_1072,0.494,A0AVI2,121,Domain,15.0,C2 4,,0.1239669421487603,C2,,C2
A0AVK6_339_603,0.523,A0AVK6,265,,0.0,,,0.0,,,
A0AVK6_209_268,0.53,A0AVK6,60,,0.0,,,0.0,,,
A0AVK6_1_122,0.523,A0AVK6,122,,0.0,,,0.0,,,
A0AVK6_604_867,0.519,A0AVK6,264,,0.0,,,0.0,,,
A0AVT1_1_43,0.59,A0AVT1,43,,0.0,,,0.0,,,
A0FGR8_1_192,0.481,A0FGR8,192,,0.0,,,0.0,,,
A0FGR8_656_778,0.555,A0FGR8,123,,0.0,,,0.0,,,
A0FGR9_580_758,0.506,A0FGR9,179,,0.0,,,0.0,,,
A0FGR9_449_488,0.536,A0FGR9,40,Domain,39.0,C2 2,,0.975,C2,,C2
A0FGR9_1_117,0.489,A0FGR9,117,,0.0,,,0.0,,,
A0JLT2_1_68,0.536,A0JLT2,68,,0.0,,,0.0,,,
A0JLT2_162_244,0.573,A0JLT2,83,,0.0,,,0.0,,,
A0JNW5_407_458,0.565,A0JNW5,52,,0.0,,,0.0,,,
A0JNW5_733_807,0.554,A0JNW5,75,,0.0,,,0.0,,,
A0JNW5_870_1192,0.531,A0JNW5,323,,0.0,,,0.0,,,
A0JNW5_264_307,0.57,A0JNW5,44,,0.0,,,0.0,,,
A0JNW5_1351_1429,0.529,A0JNW5,79,,0.0,,,0.0,,,
A0JP26_1_131,0.509,A0JP26,131,,0.0,,,0.0,,,
A0JP26_367_499,0.567,A0JP26,133,,0.0,,,0.0,,,
A0MZ66_349_631,0.532,A0MZ66,283,,0.0,,,0.0,,,
A0MZ66_108_138,0.618,A0MZ66,31,,0.0,,,0.0,,,
A0PG75_1_66,0.536,A0PG75,66,,0.0,,,0.0,,,
A0PJW6_1_36,0.546,A0PJW6,36,,0.0,,,0.0,,,
A0PJW8_1_59,0.562,A0PJW8,59,,0.0,,,0.0,,,
A0PJX2_1_45,0.359,A0PJX2,45,,0.0,,,0.0,,,
A0PJX4_124_238,0.504,A0PJX4,115,,0.0,,,0.0,,,
A0PJX8_310_343,0.582,A0PJX8,34,,0.0,,,0.0,,,
A0PJY2_1_264,0.532,A0PJY2,264,,0.0,,,0.0,,,
A0PJY2_421_475,0.557,A0PJY2,55,,0.0,,,0.0,,,
A0PJZ0_1_33,0.549,A0PJZ0,33,,0.0,,,0.0,,,
A0PJZ3_1_109,0.559,A0PJZ3,109,,0.0,,,0.0,,,
A0PK05_67_275,0.47,A0PK05,209,,0.0,,,0.0,,,
A1A4F0_1_135,0.5,A1A4F0,135,,0.0,,,0.0,,,
A1A4G5_1_178,0.498,A1A4G5,178,,0.0,,,0.0,,,
A1A4S6_361_392,0.574,A1A4S6,32,Domain,11.0,PH,,0.34375,PH,,PH
A1A4S6_577_734,0.52,A1A4S6,158,,0.0,,,0.0,,,
A1A4V9_230_278,0.58,A1A4V9,49,,0.0,,,0.0,,,
A1A4V9_1_69,0.523,A1A4V9,69,,0.0,,,0.0,,,
A1A519_271_330,0.581,A1A519,60,,0.0,,,0.0,,,
A1A519_1_222,0.508,A1A519,222,,0.0,,,0.0,,,
A1A580_1_65,0.512,A1A580,65,,0.0,,,0.0,,,
A1A5B4_748_782,0.535,A1A5B4,35,,0.0,,,0.0,,,
A1A5B4_1_41,0.577,A1A5B4,41,,0.0,,,0.0,,,
A1A5B4_88_121,0.553,A1A5B4,34,,0.0,,,0.0,,,
A1A5C7_1_86,0.544,A1A5C7,86,,0.0,,,0.0,,,
A1A5C7_123_208,0.528,A1A5C7,86,,0.0,,,0.0,,,
A1A5C7_630_686,0.558,A1A5C7,57,,0.0,,,0.0,,,
A1A5D9_283_354,0.537,A1A5D9,72,,0.0,,,0.0,,,
A1A5D9_475_508,0.538,A1A5D9,34,,0.0,,,0.0,,,
A1A5D9_1_53,0.544,A1A5D9,53,,0.0,,,0.0,,,
A1E959_1_279,0.498,A1E959,279,,0.0,,,0.0,,,
A1IGU5_566_615,0.544,A1IGU5,50,Domain,13.0,SH3 2,,0.26,SH3,,SH3
A1KXE4_1_195,0.524,A1KXE4,195,,0.0,,,0.0,,,
A1KZ92_1296_1463,0.522,A1KZ92,168,Domain,58.0,VWFC,,0.3452380952380952,VWFC,,VWFC
A1L020_292_469,0.511,A1L020,178,,0.0,,,0.0,,,
A1L020_1_122,0.549,A1L020,122,,0.0,,,0.0,,,
A1L162_1_53,0.625,A1L162,53,,0.0,,,0.0,,,
A1L162_127_156,0.67,A1L162,30,,0.0,,,0.0,,,
A1L168_82_122,0.558,A1L168,41,,0.0,,,0.0,,,
A1L170_1_272,0.518,A1L170,272,,0.0,,,0.0,,,
A1L1A6_1_45,0.521,A1L1A6,45,Domain,25.0,Ig-like,,0.5555555555555556,Ig-like,,Ig-like
A1L390_1_95,0.546,A1L390,95,,0.0,,,0.0,,,
A1L390_812_1219,0.495,A1L390,408,,0.0,,,0.0,,,
A1L390_403_811,0.475,A1L390,409,,0.0,,,0.0,,,
A1L3X4_1_49,0.561,A1L3X4,49,,0.0,,,0.0,,,
A1L429_1_117,0.51,A1L429,117,,0.0,,,0.0,,,
A1L443_301_756,0.46,A1L443,456,,0.0,,,0.0,,,
A1L443_1_210,0.53,A1L443,210,,0.0,,,0.0,,,
A1L453_1_54,0.553,A1L453,54,,0.0,,,0.0,,,
A1L4H1_562_777,0.515,A1L4H1,216,,0.0,,,0.0,,,
A1L4H1_114_204,0.51,A1L4H1,91,,0.0,,,0.0,,,
A1L4H1_1535_1573,0.564,A1L4H1,39,,0.0,,,0.0,,,
A1L4H1_397_471,0.559,A1L4H1,75,,0.0,,,0.0,,,
A1L4H1_1182_1497,0.541,A1L4H1,316,,0.0,,,0.0,,,
A1L4H1_866_1181,0.511,A1L4H1,316,,0.0,,,0.0,,,
A1L4K1_1_193,0.54,A1L4K1,193,,0.0,,,0.0,,,
A1L4L8_1_59,0.518,A1L4L8,59,,0.0,,,0.0,,,
A1L4Q6_1_167,0.502,A1L4Q6,167,,0.0,,,0.0,,,
A1X283_127_217,0.566,A1X283,91,Domain,59.0,SH3 1,,0.6483516483516484,SH3,,SH3
A1X283_419_860,0.517,A1X283,442,Domain,10.0,SH3 4,,0.0226244343891402,SH3,,SH3
A1X283_272_378,0.528,A1X283,107,Domain,10.0,SH3 3,,0.0934579439252336,SH3,,SH3
A1XBS5_231_289,0.472,A1XBS5,59,,0.0,,,0.0,,,
A1YPR0_462_619,0.479,A1YPR0,158,Zinc finger,16.0,"C2H2-type 4; degenerate, Zinc finger",,0.1012658227848101,Zinc finger,,Zinc finger
A1YPR0_124_373,0.514,A1YPR0,250,,0.0,,,0.0,,,
A1Z1Q3_243_425,0.6,A1Z1Q3,183,,0.0,,,0.0,,,
A2A288_282_480,0.509,A2A288,199,,0.0,,,0.0,,,
A2A288_44_84,0.554,A2A288,41,,0.0,,,0.0,,,
A2A2V5_70_107,0.547,A2A2V5,38,,0.0,,,0.0,,,
A2A2V5_1_35,0.582,A2A2V5,35,,0.0,,,0.0,,,
A2A2Y4_1_32,0.569,A2A2Y4,32,,0.0,,,0.0,,,
A2A2Y4_357_510,0.541,A2A2Y4,154,,0.0,,,0.0,,,
A2A2Z9_929_1011,0.518,A2A2Z9,83,,0.0,,,0.0,,,
A2A2Z9_257_345,0.553,A2A2Z9,89,,0.0,,,0.0,,,
A2A2Z9_1_33,0.532,A2A2Z9,33,,0.0,,,0.0,,,
A2A2Z9_524_754,0.54,A2A2Z9,231,,0.0,,,0.0,,,
A2A368_1_113,0.558,A2A368,113,,0.0,,,0.0,,,
A2A3K4_322_587,0.519,A2A3K4,266,,0.0,,,0.0,,,
A2A3K4_1_37,0.571,A2A3K4,37,,0.0,,,0.0,,,
A2A3L6_407_582,0.499,A2A3L6,176,,0.0,,,0.0,,,
A2A3N6_1_35,0.576,A2A3N6,35,,0.0,,,0.0,,,
A2A3N6_277_497,0.511,A2A3N6,221,,0.0,,,0.0,,,
A2A3N6_659_862,0.581,A2A3N6,204,,0.0,,,0.0,,,
A2AJT9_1_356,0.501,A2AJT9,356,,0.0,,,0.0,,,
A2AJT9_357_711,0.509,A2AJT9,355,,0.0,,,0.0,,,
A2CJ06_379_578,0.548,A2CJ06,200,,0.0,,,0.0,,,
A2CJ06_291_330,0.583,A2CJ06,40,,0.0,,,0.0,,,
A2IDD5_317_438,0.506,A2IDD5,122,,0.0,,,0.0,,,
A2IDD5_102_166,0.54,A2IDD5,65,,0.0,,,0.0,,,
A2IDD5_1_56,0.523,A2IDD5,56,,0.0,,,0.0,,,
A2PYH4_1_266,0.503,A2PYH4,266,,0.0,,,0.0,,,
A2PYH4_1091_1435,0.491,A2PYH4,345,,0.0,,,0.0,,,
A2RRD8_479_509,0.567,A2RRD8,31,Zinc finger,12.0,"C2H2-type 12; degenerate, Zinc finger",,0.3870967741935484,Zinc finger,,Zinc finger
A2RRD8_1_159,0.501,A2RRD8,159,,0.0,,,0.0,,,
A2RRH5_409_498,0.551,A2RRH5,90,,0.0,,,0.0,,,
A2RRH5_256_308,0.551,A2RRH5,53,,0.0,,,0.0,,,
A2RRL7_1_58,0.545,A2RRL7,58,,0.0,,,0.0,,,
A2RRP1_275_325,0.551,A2RRP1,51,,0.0,,,0.0,,,
A2RRP1_619_664,0.54,A2RRP1,46,,0.0,,,0.0,,,
A2RRP1_1_84,0.489,A2RRP1,84,,0.0,,,0.0,,,
A2RRP1_1125_1243,0.518,A2RRP1,119,,0.0,,,0.0,,,
A2RRP1_443_521,0.398,A2RRP1,79,,0.0,,,0.0,,,
A2RRP1_1356_1524,0.517,A2RRP1,169,,0.0,,,0.0,,,
A2RTX5_1_135,0.538,A2RTX5,135,,0.0,,,0.0,,,
A2RTY3_473_570,0.54,A2RTY3,98,,0.0,,,0.0,,,
A2RTY3_1_146,0.521,A2RTY3,146,,0.0,,,0.0,,,
A2RU30_1_164,0.518,A2RU30,164,,0.0,,,0.0,,,
A2RU30_240_521,0.474,A2RU30,282,,0.0,,,0.0,,,
A2RU37_1_121,0.507,A2RU37,121,,0.0,,,0.0,,,
A2RU54_225_273,0.51,A2RU54,49,,0.0,,,0.0,,,
A2RU54_1_146,0.533,A2RU54,146,,0.0,,,0.0,,,
A2RU67_1_101,0.52,A2RU67,101,,0.0,,,0.0,,,
A2RUB1_376_749,0.48,A2RUB1,374,,0.0,,,0.0,,,
A2RUB1_1_375,0.508,A2RUB1,375,,0.0,,,0.0,,,
A2RUB1_910_952,0.574,A2RUB1,43,,0.0,,,0.0,,,
A2RUB6_567_711,0.532,A2RUB6,145,,0.0,,,0.0,,,
A2RUB6_742_900,0.515,A2RUB6,159,,0.0,,,0.0,,,
A2RUB6_22_325,0.544,A2RUB6,304,,0.0,,,0.0,,,
A2RUB6_361_449,0.539,A2RUB6,89,,0.0,,,0.0,,,
