,nu_p,nu_p_excel,nu_cd,nu_cd_se,nu_p_b,nu_cd_excel,nu_p_b_excel,nu_cd_sub,nu_cd_se_sub,nu_p_b_sub,nu_cd_excel_sub,nu_p_b_excel_sub,SPR_p,SPR_p_excel,SPR_cd,SPR_cd_se,SPR_p_b,SPR_cd_excel,SPR_p_b_excel,SPR_cd_sub,SPR_cd_se_sub,SPR_p_b_sub,SPR_cd_excel_sub,SPR_p_b_excel_sub
metal ion binding,6.217248937900877e-15,<1e-05,-0.0951468715782208,0.01434615744006124,0.0,-0.10±0.01,<1e-05,-0.0951468715782208,0.01723970689399985,0.0,-0.10±0.02,<1e-05,9.049649918324576e-12,<1e-05,-0.0922153309602097,0.014480245102950427,0.0,-0.09±0.01,<1e-05,-0.0922153309602097,0.017186134832156953,0.0,-0.09±0.02,<1e-05
"DNA-binding transcription activator activity, RNA polymerase II-specific",2.1461013521850703e-08,<1e-05,-0.11391316523236981,0.03088071626524954,0.0,-0.11±0.03,<1e-05,-0.11391316523236981,0.05089012101724067,0.0001,-0.11±0.05,0.0001,0.0,<1e-05,-0.43604680507242366,0.035841395084306296,0.0,-0.44±0.04,<1e-05,-0.43604680507242366,0.04969368454337209,0.0,-0.44±0.05,<1e-05
GTP binding,2.3590596676884287e-08,<1e-05,0.22071990208082856,0.06666858680396856,0.0,0.22±0.07,<1e-05,0.22071990208082856,0.0823683140223794,2e-05,0.22±0.08,2e-05,3.3596325112473886e-12,<1e-05,0.38893164448453177,0.054092333286143025,0.0,0.39±0.05,<1e-05,0.38893164448453177,0.08060624634202,1e-05,0.39±0.08,1e-05
chromatin binding,4.7639867828408455e-08,<1e-05,-0.15627668863258284,0.030779627678924948,0.0,-0.16±0.03,<1e-05,-0.15627668863258284,0.04012390584795773,2e-05,-0.16±0.04,2e-05,5.123269819495846e-08,<1e-05,-0.11388211767882553,0.03340178707683263,0.0,-0.11±0.03,<1e-05,-0.11388211767882553,0.04218696821987783,1e-05,-0.11±0.04,1e-05
GTPase activity,6.548710137298876e-07,<1e-05,0.2318361929259516,0.06712378489185318,0.0,0.23±0.07,<1e-05,0.2318361929259516,0.08736800861508455,0.00025,0.23±0.09,0.0003,1.3832860717381982e-06,<1e-05,0.2860808995373957,0.05988855067554454,0.0,0.29±0.06,<1e-05,0.2860808995373957,0.08761626916587907,0.00052,0.29±0.09,0.0005
identical protein binding,1.2928114865636404e-06,<1e-05,0.08258553262448841,0.019182814878006136,0.0,0.08±0.02,<1e-05,0.08258553262448841,0.025742114508099104,0.00022,0.08±0.03,0.0002,0.00021289962833339327,0.0002,0.05099865629551178,0.01948657161042155,0.0002,0.05±0.02,0.0002,0.05099865629551178,0.026118774160431315,0.00399,0.05±0.03,0.004
G protein-coupled receptor activity,1.3782150644957466e-06,<1e-05,0.15166972552030308,0.03380250746431641,2e-05,0.15±0.03,2e-05,0.15166972552030308,0.05071568908984692,0.00129,0.15±0.05,0.001,1.570842593645113e-20,<1e-05,0.27778577753257955,0.03495772949841546,0.0,0.28±0.03,<1e-05,0.27778577753257955,0.053706221206216716,0.0,0.28±0.05,<1e-05
ubiquitin-protein transferase activity,2.0401353969956e-06,<1e-05,0.13568976462739593,0.040558755369112756,0.0,0.14±0.04,<1e-05,0.13568976462739593,0.05253487452278202,0.00049,0.14±0.05,0.0005,1.91286835622937e-06,<1e-05,0.19401190035116023,0.03690591327499596,0.0,0.19±0.04,<1e-05,0.19401190035116023,0.05155009666693836,0.00058,0.19±0.05,0.0006
transcription coregulator activity,5.4325276619415774e-06,<1e-05,-0.1587193792965424,0.03309386674578294,0.0,-0.16±0.03,<1e-05,-0.1587193792965424,0.046372888161932024,0.00048,-0.16±0.05,0.0005,7.582046102072582e-11,<1e-05,-0.21043568647189156,0.0356107325648978,0.0,-0.21±0.04,<1e-05,-0.21043568647189156,0.04773043042964787,0.0,-0.21±0.05,<1e-05
transcription coactivator activity,1.934750780574479e-05,2e-05,-0.19651531353315463,0.04234900182602292,0.0,-0.20±0.04,<1e-05,-0.19651531353315463,0.060154526007247126,0.00132,-0.20±0.06,0.001,3.389062359637762e-07,<1e-05,-0.2248572580775325,0.04640550757987661,0.0,-0.22±0.05,<1e-05,-0.2248572580775325,0.06264977237397862,5e-05,-0.22±0.06,5e-05
ATP binding,3.215600569296644e-05,3e-05,0.04251233586795123,0.020802987574275726,5e-05,0.04±0.02,5e-05,0.04251233586795123,0.026633177271350592,0.0012,0.04±0.03,0.001,8.850151177494329e-19,<1e-05,0.16663186903422067,0.01967292582255922,0.0,0.17±0.02,<1e-05,0.16663186903422067,0.026651518969569726,0.0,0.17±0.03,<1e-05
integrin binding,0.00036928490118103593,0.0004,0.19469144490494267,0.05828682179391511,0.0003,0.19±0.06,0.0003,0.19469144490494267,0.07959175868704087,0.01062,0.19±0.08,0.01,6.469066440382179e-06,<1e-05,0.2548348755834036,0.057889566280384226,0.0,0.25±0.06,<1e-05,0.2548348755834036,0.0802706607309019,0.00081,0.25±0.08,0.0008
mRNA binding,0.0012368225928253151,0.001,-0.15546269873109766,0.044548493732265715,0.00133,-0.16±0.04,0.001,-0.15546269873109766,0.06244241235799281,0.0097,-0.16±0.06,0.01,3.119959846031861e-11,<1e-05,-0.3190617453988084,0.04791122569801834,0.0,-0.32±0.05,<1e-05,-0.3190617453988084,0.062026917382405844,0.0,-0.32±0.06,<1e-05
transmembrane signaling receptor activity,0.009751848936840772,0.01,0.08416303818270837,0.022551506944471444,0.00954,0.08±0.02,0.01,0.08416303818270837,0.03510310791842859,0.06457,0.08±0.04,0.06,4.351294259870936e-15,<1e-05,0.1587093893122455,0.024293734311706606,0.0,0.16±0.02,<1e-05,0.1587093893122455,0.03623030942960164,0.0,0.16±0.04,<1e-05
signaling receptor activity,0.01012536637996925,0.01,0.07703222513800714,0.021102664520878747,0.01023,0.08±0.02,0.01,0.07703222513800714,0.03178246218871731,0.06179,0.08±0.03,0.06,3.4683079558685835e-11,<1e-05,0.11676231171755584,0.02248292345891082,0.0,0.12±0.02,<1e-05,0.11676231171755584,0.03258830904018422,1e-05,0.12±0.03,1e-05
ATP hydrolysis activity,0.21142739929294335,0.2,-0.02715900257577277,0.038387338930995815,0.78922,-0.03±0.04,0.8,-0.02715900257577277,0.05011710813256716,0.72838,-0.03±0.05,0.7,3.236918198593328e-06,<1e-05,0.1724741260077223,0.03559699980144204,0.0,0.17±0.04,<1e-05,0.1724741260077223,0.05027393924342096,0.00066,0.17±0.05,0.0007
DNA-binding transcription factor binding,0.23946021249834626,0.2,-0.038409714916218925,0.0358022369046733,0.23971,-0.04±0.04,0.2,-0.038409714916218925,0.04815866080079483,0.30602,-0.04±0.05,0.3,2.503078444515694e-08,<1e-05,-0.17460935633923966,0.03660421170187124,0.0,-0.17±0.04,<1e-05,-0.17460935633923966,0.04881670199602456,2e-05,-0.17±0.05,2e-05
magnesium ion binding,,,,,,,,,,,,,,,,,,,,,,,,
transcription corepressor activity,,,,,,,,,,,,,,,,,,,,,,,,
RNA binding,,,,,,,,,,,,,,,,,,,,,,,,
actin binding,,,,,,,,,,,,,,,,,,,,,,,,
metalloendopeptidase activity,,,,,,,,,,,,,,,,,,,,,,,,
protein kinase activity,,,,,,,,,,,,,,,,,,,,,,,,
protein serine/threonine kinase activity,,,,,,,,,,,,,,,,,,,,,,,,
protein tyrosine kinase activity,,,,,,,,,,,,,,,,,,,,,,,,
cysteine-type deubiquitinase activity,,,,,,,,,,,,,,,,,,,,,,,,
guanyl-nucleotide exchange factor activity,,,,,,,,,,,,,,,,,,,,,,,,
GTPase activator activity,,,,,,,,,,,,,,,,,,,,,,,,
signaling receptor binding,,,,,,,,,,,,,,,,,,,,,,,,
structural molecule activity,,,,,,,,,,,,,,,,,,,,,,,,
extracellular matrix structural constituent,,,,,,,,,,,,,,,,,,,,,,,,
calcium ion binding,,,,,,,,,,,,,,,,,,,,,,,,
calmodulin binding,,,,,,,,,,,,,,,,,,,,,,,,
microtubule binding,,,,,,,,,,,,,,,,,,,,,,,,
growth factor activity,,,,,,,,,,,,,,,,,,,,,,,,
heparin binding,,,,,,,,,,,,,,,,,,,,,,,,
zinc ion binding,,,,,,,,,,,,,,,,,,,,,,,,
SH3 domain binding,,,,,,,,,,,,,,,,,,,,,,,,
enzyme binding,,,,,,,,,,,,,,,,,,,,,,,,
protein kinase binding,,,,,,,,,,,,,,,,,,,,,,,,
protein domain specific binding,,,,,,,,,,,,,,,,,,,,,,,,
carbohydrate binding,,,,,,,,,,,,,,,,,,,,,,,,
small GTPase binding,,,,,,,,,,,,,,,,,,,,,,,,
ubiquitin protein ligase binding,,,,,,,,,,,,,,,,,,,,,,,,
phosphatidylinositol binding,,,,,,,,,,,,,,,,,,,,,,,,
histone binding,,,,,,,,,,,,,,,,,,,,,,,,
protein homodimerization activity,,,,,,,,,,,,,,,,,,,,,,,,
histone deacetylase binding,,,,,,,,,,,,,,,,,,,,,,,,
transmembrane transporter binding,,,,,,,,,,,,,,,,,,,,,,,,
protein-containing complex binding,,,,,,,,,,,,,,,,,,,,,,,,
cadherin binding,,,,,,,,,,,,,,,,,,,,,,,,
protein heterodimerization activity,,,,,,,,,,,,,,,,,,,,,,,,
protein dimerization activity,,,,,,,,,,,,,,,,,,,,,,,,
actin filament binding,,,,,,,,,,,,,,,,,,,,,,,,
molecular adaptor activity,,,,,,,,,,,,,,,,,,,,,,,,
RNA polymerase II-specific DNA-binding transcription factor binding,,,,,,,,,,,,,,,,,,,,,,,,
ubiquitin protein ligase activity,,,,,,,,,,,,,,,,,,,,,,,,
protein serine kinase activity,,,,,,,,,,,,,,,,,,,,,,,,
