,nu_p,nu_p_excel,nu_cd,nu_cd_se,nu_p_b,nu_cd_excel,nu_p_b_excel,nu_cd_sub,nu_cd_se_sub,nu_p_b_sub,nu_cd_excel_sub,nu_p_b_excel_sub,SPR_p,SPR_p_excel,SPR_cd,SPR_cd_se,SPR_p_b,SPR_cd_excel,SPR_p_b_excel,SPR_cd_sub,SPR_cd_se_sub,SPR_p_b_sub,SPR_cd_excel_sub,SPR_p_b_excel_sub
lysosome,4.7235150378360634e-11,<1e-05,0.20821493974113198,0.03503015043148628,0.0,0.21±0.04,<1e-05,0.20821493974113198,0.04717340241941054,0.0,0.21±0.05,<1e-05,3.9716053014649225e-15,<1e-05,0.2355256621805577,0.031851408648189236,0.0,0.24±0.03,<1e-05,0.2355256621805577,0.0476284482413589,0.0,0.24±0.05,<1e-05
endosome membrane,1.5501860505770765e-10,<1e-05,0.24579434994736438,0.03343944130104235,0.0,0.25±0.03,<1e-05,0.24579434994736438,0.04914276502009726,2e-05,0.25±0.05,2e-05,2.1927520724663744e-15,<1e-05,0.278645427590074,0.03533894005758231,0.0,0.28±0.04,<1e-05,0.278645427590074,0.052600852484756024,0.0,0.28±0.05,<1e-05
chromatin,1.4375197698868192e-09,<1e-05,-0.08926306048570762,0.021283815919750072,0.0,-0.09±0.02,<1e-05,-0.08926306048570762,0.028442810544731294,1e-05,-0.09±0.03,1e-05,0.0,<1e-05,-0.23228698624616953,0.02356651134392494,0.0,-0.23±0.02,<1e-05,-0.23228698624616953,0.029773464088621446,0.0,-0.23±0.03,<1e-05
plasma membrane,2.104676328859101e-09,<1e-05,0.07705091996797367,0.013305240746629901,0.0,0.08±0.01,<1e-05,0.07705091996797367,0.015724708698258653,1e-05,0.08±0.02,1e-05,3.9630061823334707e-25,<1e-05,0.1116957592531217,0.013366436903958686,0.0,0.11±0.01,<1e-05,0.1116957592531217,0.015827808595552755,0.0,0.11±0.02,<1e-05
extracellular exosome,2.8145465498241436e-09,<1e-05,0.13462841050780802,0.02101715892632577,0.0,0.13±0.02,<1e-05,0.13462841050780802,0.02848898903183377,1e-05,0.13±0.03,1e-05,6.004954873696642e-08,<1e-05,0.09099608773175606,0.0219102848808241,0.0,0.09±0.02,<1e-05,0.09099608773175606,0.02896442713175208,7e-05,0.09±0.03,7e-05
lysosomal membrane,7.441733008897614e-09,<1e-05,0.22044451692635592,0.04725491345611015,0.0,0.22±0.05,<1e-05,0.22044451692635592,0.0628078778304547,6e-05,0.22±0.06,6e-05,4.3220733836290337e-10,<1e-05,0.23105625315521675,0.040906839415406314,0.0,0.23±0.04,<1e-05,0.23105625315521675,0.061880335694435414,1e-05,0.23±0.06,1e-05
early endosome,9.409386484515483e-09,<1e-05,0.21057595157866862,0.037091929293295405,0.0,0.21±0.04,<1e-05,0.21057595157866862,0.053443889259270315,3e-05,0.21±0.05,3e-05,1.6486901697937872e-11,<1e-05,0.25812673333198305,0.0378993984416529,0.0,0.26±0.04,<1e-05,0.25812673333198305,0.055767035488756764,0.0,0.26±0.06,<1e-05
microtubule cytoskeleton,1.0010782421627838e-08,<1e-05,0.09993265657667291,0.0210175213843871,0.0,0.10±0.02,<1e-05,0.09993265657667291,0.02773005893712494,1e-05,0.10±0.03,1e-05,6.36693146258327e-11,<1e-05,0.13933374516867608,0.02049205135055933,0.0,0.14±0.02,<1e-05,0.13933374516867608,0.02782034829496571,0.0,0.14±0.03,<1e-05
Golgi apparatus,2.185642285705539e-08,<1e-05,0.1035422384934327,0.02042169956093106,0.0,0.10±0.02,<1e-05,0.1035422384934327,0.027734023910595523,5e-05,0.10±0.03,5e-05,6.417881276325689e-09,<1e-05,0.10408883513853485,0.019941730877834154,0.0,0.10±0.02,<1e-05,0.10408883513853485,0.0280096791766596,4e-05,0.10±0.03,4e-05
axoneme,9.721574080408208e-08,<1e-05,0.26277119843207586,0.050903023430068514,0.0,0.26±0.05,<1e-05,0.26277119843207586,0.07375787842563636,0.00022,0.26±0.07,0.0002,6.153963392691064e-17,<1e-05,0.44094516622854174,0.053354590490087866,0.0,0.44±0.05,<1e-05,0.44094516622854174,0.07884657722774761,0.0,0.44±0.08,<1e-05
basolateral plasma membrane,1.0697749038965275e-07,<1e-05,0.24943562657154825,0.04395087013744546,0.0,0.25±0.04,<1e-05,0.24943562657154825,0.06617088837946569,0.00021,0.25±0.07,0.0002,4.775693427044546e-10,<1e-05,0.27259665988662624,0.04582732358928226,0.0,0.27±0.05,<1e-05,0.27259665988662624,0.07062334788205432,4e-05,0.27±0.07,4e-05
trans-Golgi network,2.51289821423154e-07,<1e-05,0.25004826423459314,0.04044780582458304,0.0,0.25±0.04,<1e-05,0.25004826423459314,0.06308145807559078,0.0005,0.25±0.06,0.0005,2.390135224689357e-07,<1e-05,0.2188191563605756,0.04459395501806438,0.0,0.22±0.04,<1e-05,0.2188191563605756,0.06768788561737984,0.00026,0.22±0.07,0.0003
nuclear body,7.181234237263467e-07,<1e-05,-0.16761308667110966,0.026818366857947994,0.0,-0.17±0.03,<1e-05,-0.16761308667110966,0.035254122165793024,0.00012,-0.17±0.04,0.0001,4.939271214254859e-12,<1e-05,-0.1643804427554713,0.027728625753093983,0.0,-0.16±0.03,<1e-05,-0.1643804427554713,0.037074936207928975,0.0,-0.16±0.04,<1e-05
late endosome,8.850601315536651e-07,<1e-05,0.2359396423230989,0.04490234425111236,0.0,0.24±0.04,<1e-05,0.2359396423230989,0.06595349565983503,0.00043,0.24±0.07,0.0004,8.703036505638782e-12,<1e-05,0.2985719141182563,0.0462134679646066,0.0,0.30±0.05,<1e-05,0.2985719141182563,0.07065134918918682,0.0,0.30±0.07,<1e-05
chromosome,1.4236580776483265e-06,<1e-05,-0.0762504075213803,0.01887046600345567,0.0,-0.08±0.02,<1e-05,-0.0762504075213803,0.02425935376185466,0.0002,-0.08±0.02,0.0002,0.0,<1e-05,-0.13365222353042858,0.019720966103585945,0.0,-0.13±0.02,<1e-05,-0.13365222353042858,0.02488086251402192,0.0,-0.13±0.02,<1e-05
early endosome membrane,4.0829218579742305e-06,<1e-05,0.27448864140619894,0.0501474417791283,1e-05,0.27±0.05,1e-05,0.27448864140619894,0.07611218377620589,0.00163,0.27±0.08,0.002,2.21808649003641e-08,<1e-05,0.32420555970356085,0.054837587319620386,1e-05,0.32±0.05,1e-05,0.32420555970356085,0.08184389484849693,3e-05,0.32±0.08,3e-05
extracellular space,5.287378893723997e-06,<1e-05,0.09040879283281301,0.017378820865397993,0.0,0.09±0.02,<1e-05,0.09040879283281301,0.02280553144626103,0.00049,0.09±0.02,0.0005,0.003326083962438691,0.003,0.027297427723295044,0.01768955232645901,0.00343,0.03±0.02,0.003,0.027297427723295044,0.022937887610719677,0.01965,0.03±0.02,0.02
apical plasma membrane,5.53406924915638e-06,<1e-05,0.16002837427486458,0.04194828124684426,1e-05,0.16±0.04,1e-05,0.16002837427486458,0.05718342657376533,0.00135,0.16±0.06,0.001,1.523409073874389e-09,<1e-05,0.20456154526407105,0.038465512013882944,0.0,0.20±0.04,<1e-05,0.20456154526407105,0.05763323666776432,3e-05,0.20±0.06,3e-05
nuclear speck,1.7669604884251733e-05,2e-05,-0.2122763796938273,0.037258795142336945,1e-05,-0.21±0.04,1e-05,-0.2122763796938273,0.04901988426742344,0.00071,-0.21±0.05,0.0007,2.187155077049141e-07,<1e-05,-0.1598165741026813,0.03966812758066453,0.0,-0.16±0.04,<1e-05,-0.1598165741026813,0.05347312119485013,0.00016,-0.16±0.05,0.0002
membrane raft,3.8967517152181276e-05,4e-05,0.18910627223331028,0.0420435359103941,2e-05,0.19±0.04,2e-05,0.18910627223331028,0.06138662464152068,0.00279,0.19±0.06,0.003,1.2451134499450972e-07,<1e-05,0.20597417078106992,0.042004316545761956,0.0,0.21±0.04,<1e-05,0.20597417078106992,0.06449870483213858,0.0003,0.21±0.06,0.0003
microtubule,4.177008279054297e-05,4e-05,0.13407098750038351,0.03426800196150452,9e-05,0.13±0.03,9e-05,0.13407098750038351,0.04713408691180144,0.00196,0.13±0.05,0.002,2.0413628146113003e-06,<1e-05,0.17309769377722836,0.034308002551958476,0.0,0.17±0.03,<1e-05,0.17309769377722836,0.04782412381121435,0.00029,0.17±0.05,0.0003
endoplasmic reticulum,0.00022848707496308528,0.0002,0.07197680296666073,0.020992088450513847,0.00015,0.07±0.02,0.0001,0.07197680296666073,0.028011555607219952,0.00454,0.07±0.03,0.005,1.3558547897720653e-07,<1e-05,0.09310419676233167,0.020856604210925254,0.0,0.09±0.02,<1e-05,0.09310419676233167,0.028120656092077013,3e-05,0.09±0.03,3e-05
cilium,0.0007596145994266434,0.0008,0.07537104890467258,0.028693175437199757,0.00066,0.08±0.03,0.0007,0.07537104890467258,0.039076195187463206,0.01033,0.08±0.04,0.01,1.2689111945944414e-14,<1e-05,0.21612840842193043,0.028074211576720482,0.0,0.22±0.03,<1e-05,0.21612840842193043,0.03937562081731316,0.0,0.22±0.04,<1e-05
cell projection,0.0018833038828295835,0.002,0.045172825759332305,0.016502205631292854,0.00186,0.05±0.02,0.002,0.045172825759332305,0.02141180892861241,0.01281,0.05±0.02,0.01,1.4955801499069175e-09,<1e-05,0.09273669347774587,0.016419802078082385,0.0,0.09±0.02,<1e-05,0.09273669347774587,0.021597898091071103,1e-05,0.09±0.02,1e-05
external side of plasma membrane,0.0028715814141387565,0.003,0.13901318552063532,0.041601807508343504,0.00293,0.14±0.04,0.003,0.13901318552063532,0.06220175984213239,0.038,0.14±0.06,0.04,3.694391119292199e-11,<1e-05,0.27443757246307615,0.04241329689523894,0.0,0.27±0.04,<1e-05,0.27443757246307615,0.06422952881943263,3e-05,0.27±0.06,3e-05
nucleoplasm,0.004747877184099858,0.005,-0.06652277734583185,0.014656090342675437,0.005,-0.07±0.01,0.005,-0.06652277734583185,0.017137691435608282,0.01519,-0.07±0.02,0.02,2.0092796453319295e-06,<1e-05,-0.04461622391116422,0.014649617552536926,0.0,-0.04±0.01,<1e-05,-0.04461622391116422,0.01745281455832378,8e-05,-0.04±0.02,8e-05
cell surface,0.008506058470531255,0.009,0.06314401206022098,0.02721346220804933,0.00907,0.06±0.03,0.009,0.06314401206022098,0.038143459984301326,0.05189,0.06±0.04,0.05,1.0408456624050777e-08,<1e-05,0.13584116426761902,0.026935124307916888,0.0,0.14±0.03,<1e-05,0.13584116426761902,0.03840589058008696,2e-05,0.14±0.04,2e-05
receptor complex,0.11886328707487437,0.1,0.06898631305641559,0.030505618697739673,0.1171,0.07±0.03,0.1,0.06898631305641559,0.04788640064284807,0.23146,0.07±0.05,0.2,5.583067819379111e-06,<1e-05,0.10442142986755715,0.031894431503654036,0.0,0.10±0.03,<1e-05,0.10442142986755715,0.04906782039346731,0.00242,0.10±0.05,0.002
transcription regulator complex,0.11896537441115007,0.1,-0.032769415333616186,0.03425110591782088,0.11827,-0.03±0.03,0.1,-0.032769415333616186,0.047578080362484905,0.1983,-0.03±0.05,0.2,3.017042171649109e-11,<1e-05,-0.20571877063562655,0.03658450360770568,0.0,-0.21±0.04,<1e-05,-0.20571877063562655,0.048611468573525246,0.0,-0.21±0.05,<1e-05
Golgi membrane,,,,,,,,,,,,,,,,,,,,,,,,
kinetochore,,,,,,,,,,,,,,,,,,,,,,,,
"chromosome, telomeric region",,,,,,,,,,,,,,,,,,,,,,,,
spindle pole,,,,,,,,,,,,,,,,,,,,,,,,
fibrillar center,,,,,,,,,,,,,,,,,,,,,,,,
extracellular region,,,,,,,,,,,,,,,,,,,,,,,,
basement membrane,,,,,,,,,,,,,,,,,,,,,,,,
nuclear envelope,,,,,,,,,,,,,,,,,,,,,,,,
nucleolus,,,,,,,,,,,,,,,,,,,,,,,,
mitochondrial outer membrane,,,,,,,,,,,,,,,,,,,,,,,,
endoplasmic reticulum lumen,,,,,,,,,,,,,,,,,,,,,,,,
endoplasmic reticulum membrane,,,,,,,,,,,,,,,,,,,,,,,,
Golgi lumen,,,,,,,,,,,,,,,,,,,,,,,,
centrosome,,,,,,,,,,,,,,,,,,,,,,,,
centriole,,,,,,,,,,,,,,,,,,,,,,,,
microtubule organizing center,,,,,,,,,,,,,,,,,,,,,,,,
spindle,,,,,,,,,,,,,,,,,,,,,,,,
cytoskeleton,,,,,,,,,,,,,,,,,,,,,,,,
cell-cell junction,,,,,,,,,,,,,,,,,,,,,,,,
adherens junction,,,,,,,,,,,,,,,,,,,,,,,,
bicellular tight junction,,,,,,,,,,,,,,,,,,,,,,,,
focal adhesion,,,,,,,,,,,,,,,,,,,,,,,,
cell cortex,,,,,,,,,,,,,,,,,,,,,,,,
postsynaptic density,,,,,,,,,,,,,,,,,,,,,,,,
actin cytoskeleton,,,,,,,,,,,,,,,,,,,,,,,,
nuclear matrix,,,,,,,,,,,,,,,,,,,,,,,,
PML body,,,,,,,,,,,,,,,,,,,,,,,,
extrinsic component of membrane,,,,,,,,,,,,,,,,,,,,,,,,
Z disc,,,,,,,,,,,,,,,,,,,,,,,,
lamellipodium,,,,,,,,,,,,,,,,,,,,,,,,
cell junction,,,,,,,,,,,,,,,,,,,,,,,,
axon,,,,,,,,,,,,,,,,,,,,,,,,
dendrite,,,,,,,,,,,,,,,,,,,,,,,,
growth cone,,,,,,,,,,,,,,,,,,,,,,,,
midbody,,,,,,,,,,,,,,,,,,,,,,,,
extracellular matrix,,,,,,,,,,,,,,,,,,,,,,,,
nuclear membrane,,,,,,,,,,,,,,,,,,,,,,,,
protein-containing complex,,,,,,,,,,,,,,,,,,,,,,,,
centriolar satellite,,,,,,,,,,,,,,,,,,,,,,,,
ciliary basal body,,,,,,,,,,,,,,,,,,,,,,,,
sarcolemma,,,,,,,,,,,,,,,,,,,,,,,,
neuron projection,,,,,,,,,,,,,,,,,,,,,,,,
neuronal cell body,,,,,,,,,,,,,,,,,,,,,,,,
dendritic spine,,,,,,,,,,,,,,,,,,,,,,,,
perikaryon,,,,,,,,,,,,,,,,,,,,,,,,
intracellular membrane-bounded organelle,,,,,,,,,,,,,,,,,,,,,,,,
synapse,,,,,,,,,,,,,,,,,,,,,,,,
postsynaptic membrane,,,,,,,,,,,,,,,,,,,,,,,,
perinuclear region of cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,
collagen-containing extracellular matrix,,,,,,,,,,,,,,,,,,,,,,,,
anchoring junction,,,,,,,,,,,,,,,,,,,,,,,,
mitotic spindle,,,,,,,,,,,,,,,,,,,,,,,,
presynapse,,,,,,,,,,,,,,,,,,,,,,,,
glutamatergic synapse,,,,,,,,,,,,,,,,,,,,,,,,
ribonucleoprotein complex,,,,,,,,,,,,,,,,,,,,,,,,
