,OR,p_value,OR_errlow,OR_errhigh,asymmetric_err,BenjaminiHochberg,correctedP
nucleic acid binding,1.0009597802822343,0.9832647706097872,0.9209062750795984,1.0874119588757272,"[0.08005350520263588, 0.08645217859349286]",False,1.0
chromatin DNA binding,1.0084383867312225,0.917397753223486,0.6454081876730925,1.5201494319289957,"[0.36303019905813005, 0.5117110451977731]",False,0.9619316247391893
structural constituent of muscle,1.014781280326485,0.8959899104688779,0.5701383609887744,1.7014973654557584,"[0.4446429193377107, 0.6867160851292733]",False,0.944582067568356
protein-containing complex binding,1.0194859716891795,0.719628976202241,0.9132809061426403,1.1362336583958603,"[0.10620506554653919, 0.11674768670668079]",False,0.8426360297346523
cell adhesion molecule binding,1.020717287695553,0.8176386537351428,0.8469226384849649,1.2230518530282115,"[0.17379464921058818, 0.20233456533265848]",False,0.886454809798965
polyubiquitin modification-dependent protein binding,1.0233395643686052,0.8887351661003189,0.5510553613157092,1.7744769198913513,"[0.472284203052896, 0.7511373555227461]",False,0.944582067568356
lipid binding,1.0267137885510718,0.7654858987227032,0.8648670696003818,1.2130058559857924,"[0.16184671895068992, 0.1862920674347206]",False,0.8611716360630411
small GTPase binding,1.0399048079367434,0.7194197059262247,0.8148792872795454,1.3135126488126474,"[0.22502552065719805, 0.27360784087590395]",False,0.8426360297346523
cysteine-type deubiquitinase activity,1.0430977253477176,0.7781364076913884,0.7029259947274095,1.505573423596645,"[0.34017173062030814, 0.4624756982489273]",False,0.8663786807285562
protein phosphatase binding,1.04596430413344,0.7889636918006401,0.721112428560847,1.4803737322591415,"[0.3248518755725931, 0.4344094281257014]",False,0.869527799186211
phosphatase binding,1.0490876557642261,0.7616171444962643,0.7680599805603232,1.4086541369006538,"[0.2810276752039029, 0.35956648113642764]",False,0.8611716360630411
methylated histone binding,1.0535238700503968,0.8182632485374357,0.6463836970418834,1.6457122719042818,"[0.40714017300851346, 0.592188401853885]",False,0.886454809798965
RNA polymerase II-specific DNA-binding transcription factor binding,1.0545196849981244,0.616361339634602,0.8423722706767997,1.3088030851362131,"[0.21214741432132478, 0.2542834001380887]",False,0.7651382147188163
cadherin binding,1.0584369649313985,0.6252869822532665,0.826697815521221,1.340975700680403,"[0.23173914941017748, 0.28253873574900457]",False,0.7673976600380998
phosphatidylinositol-3-phosphate binding,1.0624555395121722,0.7890159659282285,0.5959938564240378,1.7850278556745824,"[0.4664616830881344, 0.7225723161624102]",False,0.869527799186211
other,1.063366921756964,0.19328777992432505,0.9688804574165794,1.1660247825003769,"[0.09448646434038455, 0.10265786074341299]",False,0.3313504798702715
cysteine-type endopeptidase activity,1.0703345445176007,0.6951606371424313,0.7114274845799167,1.563520655853297,"[0.358907059937684, 0.49318611133569634]",False,0.8341927645709175
zinc ion binding,1.0704755952935192,0.3971905705709908,0.9124539808274048,1.2508074291844267,"[0.1580216144661144, 0.18033183389090746]",False,0.5748862448313287
structural molecule activity,1.0711561485647394,0.3992265589106449,0.9061803090182555,1.2605057384522984,"[0.16497583954648387, 0.189349589887559]",False,0.5748862448313287
scaffold protein binding,1.0819875742820122,0.7217021550968088,0.6553213440966902,1.7088710435612355,"[0.426666230185322, 0.6268834692792233]",False,0.8426360297346523
mRNA binding,1.0862260671925867,0.48455028464659033,0.8412730858478623,1.3869027933476503,"[0.24495298134472443, 0.3006767261550636]",False,0.648005342667957
phosphatidylinositol binding,1.0874266275870716,0.4918006861252089,0.8463395694119071,1.3822706417744604,"[0.24108705817516451, 0.2948440141873887]",False,0.6517113386689884
phospholipid binding,1.088268693011249,0.38592243758492817,0.8885873633967575,1.3237576177779857,"[0.1996813296144916, 0.23548892476673666]",False,0.5696207709363806
identical protein binding,1.0886433122122048,0.12877818073060704,0.9730708366913844,1.2159299562959565,"[0.1155724755208204, 0.12728664408375168]",False,0.2674623753635685
transcription corepressor binding,1.0886653698978883,0.765307413721634,0.5705757084912577,1.9304113566682501,"[0.5180896614066306, 0.8417459867703618]",False,0.8611716360630411
molecular adaptor activity,1.0890680267908912,0.3909730401547295,0.8914000146016765,1.3217545620888342,"[0.1976680121892147, 0.23268653529794303]",False,0.570609301847443
ATP binding,1.0921085235847965,0.12437217098289305,0.9750186819005965,1.2211795065741704,"[0.1170898416842, 0.12907098298937392]",False,0.26598404883470195
ubiquitin protein ligase activity,1.0979055305435634,0.4433403180030655,0.850171280548528,1.4020883695328485,"[0.24773424999503546, 0.3041828389892851]",False,0.6156681521180545
phosphatidylserine binding,1.099297306691088,0.7462897963151539,0.542603430645401,2.0415975695171094,"[0.5566938760456871, 0.9423002628260213]",False,0.8605670871273511
peptide binding,1.099371269134946,0.48439185315240496,0.8300027492573565,1.4365003764736701,"[0.2693685198775895, 0.33712910733872414]",False,0.648005342667957
integrin binding,1.1040197653673158,0.5115364675030236,0.7911149694971077,1.5112400736830363,"[0.31290479587020814, 0.4072203083157204]",False,0.6691137916767326
cytoskeletal motor activity,1.1055618307764952,0.4860040070009677,0.8085726539530671,1.4862492644757475,"[0.29698917682342807, 0.3806874336992523]",False,0.648005342667957
transcription coregulator binding,1.110134864291446,0.5673653284212338,0.7515409414152499,1.5968456156717734,"[0.35859392287619607, 0.4867107513803275]",False,0.7208877114058029
hydrolase activity,1.1157681552677412,0.049478054425073935,0.9988341876386835,1.244425727522353,"[0.11693396762905772, 0.12865757225461172]",False,0.13701615071558937
transmembrane transporter binding,1.1205565547346032,0.5200899465205729,0.7712904027839809,1.5889875754074774,"[0.3492661519506224, 0.4684310206728741]",False,0.6709735540799032
protein-folding chaperone binding,1.1221562951565935,0.5858339209558392,0.7160813433975121,1.697671484137866,"[0.4060749517590815, 0.5755151889812724]",False,0.7314458203841692
hyaluronic acid binding,1.1334888487891555,0.7190444394375016,0.516359015465426,2.2372206305029807,"[0.6171298333237295, 1.1037317817138252]",False,0.8426360297346523
DNA-binding transcription factor binding,1.1380703995350707,0.1689826536639167,0.93933732048301,1.3706393535783106,"[0.19873307905206072, 0.23256895404323985]",False,0.31196797599492315
tubulin binding,1.1400572469961845,0.17643720228876708,0.9376066977359305,1.3776327997567943,"[0.20245054926025396, 0.23757555276060982]",False,0.3215882641039478
minus-end-directed microtubule motor activity,1.1465737517368373,0.6224045158497299,0.5649056412740618,2.1347116118603773,"[0.5816681104627754, 0.98813786012354]",False,0.7673976600380998
transcription corepressor activity,1.14698001591345,0.36203538787920164,0.8481381515582891,1.5271919028864327,"[0.2988418643551609, 0.3802118869729827]",False,0.5486913626785573
methyltransferase activity,1.153219854423442,0.35787671505203783,0.825584036084263,1.5803402349576992,"[0.327635818339179, 0.42712038053425716]",False,0.5482366698669515
kinase binding,1.1568986886865487,0.06040131260957447,0.9915272486714001,1.3449562547398288,"[0.16537144001514859, 0.18805756605328017]",False,0.15512521344945646
histone binding,1.1630583203923943,0.18458240737674525,0.9187098421455686,1.4588571227017686,"[0.2443484782468257, 0.2957988023093743]",False,0.32680163928997524
protein kinase binding,1.1643954834491073,0.06245267182163122,0.9889102557552458,1.365361034100251,"[0.17548522769386143, 0.20096555065114363]",False,0.15685787341246912
protein-macromolecule adaptor activity,1.1663039951850027,0.1795503527872409,0.9187812945575681,1.4665779852704386,"[0.24752270062743464, 0.30027399008543587]",False,0.3231906350170336
nuclear receptor activity,1.170650321075409,0.5405570568676672,0.6117471291750818,2.083915731963161,"[0.5589031919003271, 0.913265410887752]",False,0.6908894928012788
nuclear receptor binding,1.1737829094378038,0.31650725435594473,0.8430879387720266,1.6040058201242442,"[0.33069497066577724, 0.43022291068644036]",False,0.49540265899191355
nucleotide binding,1.1776377785855128,0.0018242658709216604,1.062286676736459,1.303883856904618,"[0.11535110184905384, 0.12624607831910528]",True,0.012313794628721208
enzyme binding,1.180493077220914,0.0012171750067385087,1.06722670536219,1.304262440069483,"[0.1132663718587239, 0.12376936284856921]",True,0.00848096133727477
voltage-gated potassium channel activity,1.1812859494357277,0.4355377630667115,0.7526695285706856,1.79046105692976,"[0.42861642086504215, 0.6091751074940324]",False,0.6156681521180545
transmembrane transporter activity,1.1976312731492151,0.009676395260518212,1.0421804432323245,1.372411246057104,"[0.15545082991689063, 0.17477997290788894]",True,0.04447024204833902
SNARE binding,1.2003701214640776,0.36325400399552643,0.7573170758489585,1.8349397502299174,"[0.44305304561511916, 0.6345696287658398]",False,0.5486913626785573
protein dimerization activity,1.204665751737705,0.015615999888425705,1.0331135218052558,1.3997256499071855,"[0.17155222993244923, 0.19505989816948044]",False,0.06746111951799905
ubiquitin protein ligase binding,1.216717422049606,0.1479797388931821,0.9188959666855265,1.5900793975634984,"[0.29782145536407945, 0.3733619755138924]",False,0.29160207324220816
nuclear thyroid hormone receptor binding,1.2249591555792472,0.5142263398997111,0.6212011396375374,2.234554581617772,"[0.6037580159417097, 1.0095954260385247]",False,0.6691137916767326
ubiquitin-protein transferase activity,1.228872390989148,0.044113890654027224,0.9983422339017769,1.5022137800223778,"[0.230530157087371, 0.2733413890332299]",False,0.1270480050835984
ATP hydrolysis activity,1.2319455682376477,0.03545581352241177,1.0083089290456437,1.4956060581019248,"[0.22363663919200394, 0.26366048986427715]",False,0.10947401695797981
microtubule binding,1.2348873966892695,0.048250454271327334,0.9957358428039411,1.5201129455888085,"[0.23915155388532838, 0.285225548899539]",False,0.13535192367021695
protein phosphatase 2A binding,1.2387348177714694,0.5746608868614189,0.5618095923119769,2.460259490917283,"[0.6769252254594925, 1.2215246731458136]",False,0.7216671602445726
protein homodimerization activity,1.2482876545478976,0.01707319176788029,1.0384472360196662,1.4926319852323027,"[0.20984041852823143, 0.2443443306844051]",False,0.07091941195888736
E-box binding,1.2546690264002893,0.4430749701267359,0.6702442295631285,2.1986692809571844,"[0.5844247968371609, 0.9440002545568951]",False,0.6156681521180545
heparin binding,1.2640263185145186,0.14724102918337545,0.9096188951639674,1.725262030798704,"[0.3544074233505512, 0.4612357122841855]",False,0.29160207324220816
phosphoprotein phosphatase activity,1.2741557474450083,0.16599757985965574,0.8914075711091881,1.783063963869617,"[0.38274817633582014, 0.5089082164246088]",False,0.3090989418076348
"phosphatidylinositol-3,4-bisphosphate binding",1.2865000522100252,0.44898143624357656,0.5823074718396973,2.5623546595329407,"[0.7041925803703278, 1.2758546073229156]",False,0.61770694413129
transcription coactivator binding,1.2869625958294515,0.3545001558746673,0.6867356847240015,2.2585643214006614,"[0.60022691110545, 0.9716017255712099]",False,0.546943097635201
serine-type endopeptidase inhibitor activity,1.292155364643145,0.25200307708263336,0.777950609534654,2.056184765067548,"[0.514204755108491, 0.764029400424403]",False,0.40320492333221336
RNA polymerase II complex binding,1.2950106390072285,0.3876585802205924,0.6344146905023195,2.42993830971106,"[0.660595948504909, 1.1349276707038314]",False,0.5696207709363806
14-3-3 protein binding,1.3142368853466686,0.36649932613926367,0.6201408327796786,2.5388106458460866,"[0.69409605256699, 1.224573760499418]",False,0.5497489892088956
RNA helicase activity,1.319412000460977,0.19233998819596798,0.8298484738629733,2.024634459366685,"[0.48956352659800373, 0.7052224589057079]",False,0.3313504798702715
magnesium ion binding,1.3263910577252243,0.0713040468865784,0.9567255191989242,1.807208861793538,"[0.3696655385263, 0.48081780406831376]",False,0.175019024176147
glycosaminoglycan binding,1.3269486536635728,0.033291650939538335,1.0167844948632876,1.7121469427836782,"[0.31016415880028525, 0.38519828912010534]",False,0.10850460310591034
"phosphatidylinositol-4,5-bisphosphate binding",1.3278980770252489,0.2068367503940831,0.8085356411870309,2.094180249044156,"[0.519362435838218, 0.7662821720189072]",False,0.34903701629001527
microtubule motor activity,1.3481401986584236,0.08565559126923802,0.9374036067183334,1.8976551739113119,"[0.41073659194009016, 0.5495149752528883]",False,0.20254111532543795
SMAD binding,1.3609047476906255,0.14985106541613474,0.8550273831353128,2.091077898462624,"[0.5058773645553127, 0.7301731507719986]",False,0.29160207324220816
beta-tubulin binding,1.361052010545825,0.37425319848632355,0.6650926727074308,2.5626905071745694,"[0.6959593378383943, 1.2016384966287443]",False,0.5575082129175578
lipid transporter activity,1.3629061799628954,0.03979506088495501,1.0011794159853222,1.8272014712548492,"[0.3617267639775732, 0.4642952912919538]",False,0.11938518265486504
protein tyrosine phosphatase activity,1.3716863098359386,0.1474281848977261,0.8615613303671574,2.1083701052872894,"[0.5101249794687812, 0.7366837954513508]",False,0.29160207324220816
protein heterodimerization activity,1.3735748750324615,0.02334948490640914,1.037038277769089,1.7966187675891865,"[0.3365365972633725, 0.42304389255672503]",False,0.0840581456630729
heat shock protein binding,1.3854034235937942,0.11917210627582478,0.9075239703559488,2.0545969031539904,"[0.4778794532378454, 0.6691934795601961]",False,0.2574117495557815
RNA binding,1.3856768138217046,1.1396311360489333e-08,1.2397115690610787,1.5465205117090262,"[0.1459652447606259, 0.16084369788732156]",True,2.05133604488808e-07
myosin binding,1.3860784196811875,0.164091469812986,0.8523473339289932,2.1692935189427422,"[0.5337310857521943, 0.7832150992615547]",False,0.3082065867791737
telomeric DNA binding,1.3986558635490454,0.24675450070225619,0.7250203062909985,2.5168328798008,"[0.6736355572580469, 1.1181770162517548]",False,0.40074415151644616
dynein intermediate chain binding,1.4015049995561804,0.1889039109166668,0.7921687285449477,2.352652156261134,"[0.6093362710112327, 0.9511471567049539]",False,0.32905842546774217
histone deacetylase binding,1.4022918027816973,0.05461306100935096,0.9785106194001766,1.9683925343446373,"[0.4237811833815207, 0.56610073156294]",False,0.14745526472524761
ABC-type transporter activity,1.4165655797737484,0.11183498873160669,0.8887215785229097,2.180471942525621,"[0.5278440012508387, 0.7639063627518725]",False,0.24649344455129638
dynein light intermediate chain binding,1.43501087579001,0.1821767161653938,0.8102662770007274,2.4121361518971938,"[0.6247445987892826, 0.9771252761071838]",False,0.32520802224566164
damaged DNA binding,1.4402105884081142,0.11637597218861258,0.8742227518430854,2.2801054054724776,"[0.5659878365650288, 0.8398948170643634]",False,0.253911212047882
epidermal growth factor receptor binding,1.4547155830045488,0.31610741056444547,0.6538623937061724,2.9262478270390413,"[0.8008531892983765, 1.4715322440344925]",False,0.49540265899191355
GTPase activity,1.4697329209735468,0.018386643099523398,1.0535978361668437,2.015018590005443,"[0.41613508480670314, 0.5452856690318963]",False,0.07091990909816168
translation initiation factor activity,1.4723621731707797,0.25065408799308886,0.6904203869522706,2.8692241025649152,"[0.7819417862185091, 1.3968619293941356]",False,0.40320492333221336
iron ion binding,1.4769234235437994,0.1884507282997383,0.7830295761936851,2.6142510620142594,"[0.6938938473501143, 1.13732763847046]",False,0.32905842546774217
ribosome binding,1.4836554305510066,0.06697419407482756,0.9380984710656226,2.2701133267425027,"[0.545556959485384, 0.7864578961914961]",False,0.16628075770302014
syntaxin binding,1.4890041384115642,0.10252501810118093,0.891528947935922,2.385991828880092,"[0.5974751904756422, 0.8969876904685277]",False,0.2283031330912895
protein phosphatase inhibitor activity,1.5090866193357104,0.14869931568508293,0.8175509862882641,2.6265680134920144,"[0.6915356330474464, 1.117481394156304]",False,0.29160207324220816
double-stranded RNA binding,1.5290584702630003,0.05792401565936246,0.9565337625381233,2.3620594850434453,"[0.5725247077248771, 0.833001014780445]",False,0.15139082958638939
ATPase-coupled transmembrane transporter activity,1.552757437024812,0.018001369123948653,1.0699743903222982,2.2059493146871394,"[0.4827830467025138, 0.6531918776623273]",False,0.07091990909816168
dynein complex binding,1.5541774736524825,0.15140788965049476,0.7787503149276254,2.881685982990615,"[0.7754271587248571, 1.3275085093381327]",False,0.2920009300402399
oxidoreductase activity,1.5809900751253767,0.0002716117708945913,1.2350011581215907,2.0057400763580997,"[0.345988917003786, 0.424750001232723]",True,0.0021728941671567306
"phosphatidylinositol-3,5-bisphosphate binding",1.5935588399393292,0.21101625222483084,0.7121948449390078,3.2317197171421976,"[0.8813639950003215, 1.6381608772028684]",False,0.3506116190812574
symporter activity,1.6122667262732515,0.005202949280255043,1.1441641226442798,2.2321071838143975,"[0.4681026036289717, 0.619840457541146]",True,0.02814955499778993
"3',5'-cyclic-nucleotide phosphodiesterase activity",1.6325024766328957,0.2062959675501709,0.728440247480859,3.318235220404411,"[0.9040622291520367, 1.6857327437715155]",False,0.34903701629001527
