,nu_svr_p,nu_svr_p_excel,nu_svr_cd,nu_svr_cd_se,nu_svr_p_b,nu_svr_cd_excel,nu_svr_p_b_excel,nu_svr_cd_sub,nu_svr_cd_se_sub,nu_svr_p_b_sub,nu_svr_cd_excel_sub,nu_svr_p_b_excel_sub,SPR_svr_p,SPR_svr_p_excel,SPR_svr_cd,SPR_svr_cd_se,SPR_svr_p_b,SPR_svr_cd_excel,SPR_svr_p_b_excel,SPR_svr_cd_sub,SPR_svr_cd_se_sub,SPR_svr_p_b_sub,SPR_svr_cd_excel_sub,SPR_svr_p_b_excel_sub
plasma membrane,1.9934973541926117e-15,<1e-05,0.12478165326609467,0.01543400477528508,0.0,0.12±0.02,<1e-05,0.12478165326609467,0.018702302840267974,0.0,0.12±0.02,<1e-05,6.599425080184896e-19,<1e-05,0.11607724523006921,0.01568705035102323,0.0,0.12±0.02,<1e-05,0.11607724523006921,0.019021783819551157,0.0,0.12±0.02,<1e-05
cytoplasm,4.618963719994127e-15,<1e-05,0.12092595235190665,0.014950687139088677,0.0,0.12±0.01,<1e-05,0.12092595235190665,0.012414173733794116,0.0,0.12±0.01,<1e-05,1.936531073194013e-11,<1e-05,0.10350098681443196,0.015062777038708692,0.0,0.10±0.02,<1e-05,0.10350098681443196,0.01253618399036972,0.0,0.10±0.01,<1e-05
nucleoplasm,4.773959005888173e-15,<1e-05,-0.132956108905308,0.015939435926121275,0.0,-0.13±0.02,<1e-05,-0.132956108905308,0.018381472907616055,0.0,-0.13±0.02,<1e-05,9.310472537771286e-05,9e-05,-0.03744376871871851,0.01620146466986252,8e-05,-0.04±0.02,8e-05,-0.03744376871871851,0.018748992603416694,0.00054,-0.04±0.02,0.0005
endoplasmic reticulum,1.0420030820404577e-13,<1e-05,0.18072090660777948,0.02415208387234708,0.0,0.18±0.02,<1e-05,0.18072090660777948,0.032580386226749615,0.0,0.18±0.03,<1e-05,1.9803685372119294e-15,<1e-05,0.1682399299045272,0.02463130583230053,0.0,0.17±0.02,<1e-05,0.1682399299045272,0.033577833807351465,0.0,0.17±0.03,<1e-05
extracellular exosome,3.7588731462710245e-12,<1e-05,0.15789534874459243,0.02840855345794654,0.0,0.16±0.03,<1e-05,0.15789534874459243,0.03646111719945166,0.0,0.16±0.04,<1e-05,2.5679134900848607e-10,<1e-05,0.149911871423804,0.02702472229333533,0.0,0.15±0.03,<1e-05,0.149911871423804,0.03584958593743108,1e-05,0.15±0.04,1e-05
lysosome,4.079379159528915e-12,<1e-05,0.26111463342603186,0.0423593588526317,0.0,0.26±0.04,<1e-05,0.26111463342603186,0.059948678314595515,0.0,0.26±0.06,<1e-05,1.7947993510301408e-13,<1e-05,0.2870504411443012,0.03961290924275017,0.0,0.29±0.04,<1e-05,0.2870504411443012,0.0611713049851317,0.0,0.29±0.06,<1e-05
trans-Golgi network,1.5991145869353428e-10,<1e-05,0.3232587109419231,0.04976062378701651,0.0,0.32±0.05,<1e-05,0.3232587109419231,0.07876675163864244,1e-05,0.32±0.08,1e-05,9.59503199028131e-09,<1e-05,0.289140273715666,0.05313610159541403,0.0,0.29±0.05,<1e-05,0.289140273715666,0.08455241300345152,0.00012,0.29±0.08,0.0001
cell surface,1.6541866123745021e-10,<1e-05,0.22636251055433665,0.03373785768672564,0.0,0.23±0.03,<1e-05,0.22636251055433665,0.04896449465680837,1e-05,0.23±0.05,1e-05,3.711348571140992e-10,<1e-05,0.21184346005505417,0.03451862193660066,0.0,0.21±0.03,<1e-05,0.21184346005505417,0.05028442056279567,4e-05,0.21±0.05,4e-05
endosome,2.1758668804152508e-10,<1e-05,0.17741103056094903,0.02896797597168198,0.0,0.18±0.03,<1e-05,0.17741103056094903,0.04242195203087352,0.0,0.18±0.04,<1e-05,2.2135273013151373e-11,<1e-05,0.1808555990175093,0.029760239071267354,0.0,0.18±0.03,<1e-05,0.1808555990175093,0.04407368069896779,0.0,0.18±0.04,<1e-05
external side of plasma membrane,3.5389194019419354e-09,<1e-05,0.33238851992659535,0.05407668188716707,0.0,0.33±0.05,<1e-05,0.33238851992659535,0.08115296134782089,7e-05,0.33±0.08,7e-05,8.079854339160302e-10,<1e-05,0.3269354663030793,0.05273349970373279,0.0,0.33±0.05,<1e-05,0.3269354663030793,0.0846802247662356,0.00013,0.33±0.08,0.0001
lysosomal membrane,6.660657525037729e-09,<1e-05,0.2986904324895949,0.04767092491056084,0.0,0.30±0.05,<1e-05,0.2986904324895949,0.0753399031622101,0.0001,0.30±0.08,0.0001,1.0494617131535224e-12,<1e-05,0.3455446980328245,0.05047620408832436,0.0,0.35±0.05,<1e-05,0.3455446980328245,0.08172201637582334,0.0,0.35±0.08,<1e-05
nuclear body,1.2381542457973183e-08,<1e-05,-0.16964874051177728,0.02870737340812665,0.0,-0.17±0.03,<1e-05,-0.16964874051177728,0.03857060920497873,0.0,-0.17±0.04,<1e-05,5.287390573482931e-06,<1e-05,-0.11368058126387585,0.030300208011167114,1e-05,-0.11±0.03,1e-05,-0.11368058126387585,0.039644573801662565,0.00025,-0.11±0.04,0.0003
nuclear speck,1.4277911852822456e-08,<1e-05,-0.23642410430464184,0.03882426931547062,0.0,-0.24±0.04,<1e-05,-0.23642410430464184,0.053877976233416544,1e-05,-0.24±0.05,1e-05,4.539388862245808e-06,<1e-05,-0.16216849085121207,0.043004923253504634,1e-05,-0.16±0.04,1e-05,-0.16216849085121207,0.056628450745387596,0.00037,-0.16±0.06,0.0004
basolateral plasma membrane,1.6190350862722354e-08,<1e-05,0.3154788303465617,0.05110093576434556,0.0,0.32±0.05,<1e-05,0.3154788303465617,0.07937491419652082,0.00021,0.32±0.08,0.0002,5.170142757085466e-13,<1e-05,0.3888976881017394,0.05658565550659861,0.0,0.39±0.06,<1e-05,0.3888976881017394,0.08662092751487684,0.0,0.39±0.09,<1e-05
receptor complex,5.5193554879086263e-08,<1e-05,0.24447839019143588,0.03886822062030411,0.0,0.24±0.04,<1e-05,0.24447839019143588,0.06349118890400791,0.00034,0.24±0.06,0.0003,2.0285563586939168e-05,2e-05,0.1522521444431228,0.0424217693790462,2e-05,0.15±0.04,2e-05,0.1522521444431228,0.06713881915395566,0.00559,0.15±0.07,0.006
Golgi apparatus,1.0633530689959493e-07,<1e-05,0.14216773065010982,0.021736503676008448,0.0,0.14±0.02,<1e-05,0.14216773065010982,0.03185427156415646,0.00015,0.14±0.03,0.0001,0.0022979505860371654,0.002,0.05970174758301719,0.023326340776609167,0.00224,0.06±0.02,0.002,0.05970174758301719,0.03299291485461874,0.02205,0.06±0.03,0.02
transcription regulator complex,1.3802996479128637e-07,<1e-05,-0.15016236328605578,0.033891967371670516,0.0,-0.15±0.03,<1e-05,-0.15016236328605578,0.05046655523774219,8e-05,-0.15±0.05,8e-05,4.547947575539446e-06,<1e-05,-0.15776833660111828,0.036442895595073944,1e-05,-0.16±0.04,1e-05,-0.15776833660111828,0.049416826383004916,0.00061,-0.16±0.05,0.0006
endoplasmic reticulum membrane,3.1736415604170967e-07,<1e-05,0.17781746365150147,0.030311865766196402,0.0,0.18±0.03,<1e-05,0.17781746365150147,0.04336867230332174,0.00022,0.18±0.04,0.0002,6.3257415125354765e-09,<1e-05,0.18017800565637912,0.03164864970903606,0.0,0.18±0.03,<1e-05,0.18017800565637912,0.045159996741742314,4e-05,0.18±0.05,4e-05
cytoskeleton,7.685455180039824e-07,<1e-05,-0.06684592563176914,0.018678185655034863,0.0,-0.07±0.02,<1e-05,-0.06684592563176914,0.024760046467985602,0.00013,-0.07±0.02,0.0001,5.62862222053262e-06,<1e-05,-0.08771768351969925,0.01954362867495423,0.0,-0.09±0.02,<1e-05,-0.08771768351969925,0.02473344786013341,0.00021,-0.09±0.02,0.0002
apical plasma membrane,7.948310748959451e-06,<1e-05,0.22229577678681703,0.04578168273781537,0.0,0.22±0.05,<1e-05,0.22229577678681703,0.0662983218325521,0.00139,0.22±0.07,0.001,1.8353688192342216e-09,<1e-05,0.2758834729589821,0.04831047773993375,0.0,0.28±0.05,<1e-05,0.2758834729589821,0.07006288102570449,0.0,0.28±0.07,<1e-05
Golgi membrane,,,,,,,,,,,,,,,,,,,,,,,,
kinetochore,,,,,,,,,,,,,,,,,,,,,,,,
spindle pole,,,,,,,,,,,,,,,,,,,,,,,,
fibrillar center,,,,,,,,,,,,,,,,,,,,,,,,
nuclear envelope,,,,,,,,,,,,,,,,,,,,,,,,
nucleolus,,,,,,,,,,,,,,,,,,,,,,,,
early endosome,,,,,,,,,,,,,,,,,,,,,,,,
endoplasmic reticulum lumen,,,,,,,,,,,,,,,,,,,,,,,,
centrosome,,,,,,,,,,,,,,,,,,,,,,,,
centriole,,,,,,,,,,,,,,,,,,,,,,,,
microtubule organizing center,,,,,,,,,,,,,,,,,,,,,,,,
cytosol,,,,,,,,,,,,,,,,,,,,,,,,
microtubule,,,,,,,,,,,,,,,,,,,,,,,,
cell-cell junction,,,,,,,,,,,,,,,,,,,,,,,,
adherens junction,,,,,,,,,,,,,,,,,,,,,,,,
bicellular tight junction,,,,,,,,,,,,,,,,,,,,,,,,
focal adhesion,,,,,,,,,,,,,,,,,,,,,,,,
cilium,,,,,,,,,,,,,,,,,,,,,,,,
cell cortex,,,,,,,,,,,,,,,,,,,,,,,,
postsynaptic density,,,,,,,,,,,,,,,,,,,,,,,,
actin cytoskeleton,,,,,,,,,,,,,,,,,,,,,,,,
microtubule cytoskeleton,,,,,,,,,,,,,,,,,,,,,,,,
nuclear matrix,,,,,,,,,,,,,,,,,,,,,,,,
Z disc,,,,,,,,,,,,,,,,,,,,,,,,
lamellipodium,,,,,,,,,,,,,,,,,,,,,,,,
cell junction,,,,,,,,,,,,,,,,,,,,,,,,
axon,,,,,,,,,,,,,,,,,,,,,,,,
dendrite,,,,,,,,,,,,,,,,,,,,,,,,
midbody,,,,,,,,,,,,,,,,,,,,,,,,
extracellular matrix,,,,,,,,,,,,,,,,,,,,,,,,
early endosome membrane,,,,,,,,,,,,,,,,,,,,,,,,
nuclear membrane,,,,,,,,,,,,,,,,,,,,,,,,
protein-containing complex,,,,,,,,,,,,,,,,,,,,,,,,
centriolar satellite,,,,,,,,,,,,,,,,,,,,,,,,
ciliary basal body,,,,,,,,,,,,,,,,,,,,,,,,
neuron projection,,,,,,,,,,,,,,,,,,,,,,,,
neuronal cell body,,,,,,,,,,,,,,,,,,,,,,,,
dendritic spine,,,,,,,,,,,,,,,,,,,,,,,,
perikaryon,,,,,,,,,,,,,,,,,,,,,,,,
intracellular membrane-bounded organelle,,,,,,,,,,,,,,,,,,,,,,,,
membrane raft,,,,,,,,,,,,,,,,,,,,,,,,
synapse,,,,,,,,,,,,,,,,,,,,,,,,
perinuclear region of cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,
collagen-containing extracellular matrix,,,,,,,,,,,,,,,,,,,,,,,,
anchoring junction,,,,,,,,,,,,,,,,,,,,,,,,
mitotic spindle,,,,,,,,,,,,,,,,,,,,,,,,
glutamatergic synapse,,,,,,,,,,,,,,,,,,,,,,,,
ribonucleoprotein complex,,,,,,,,,,,,,,,,,,,,,,,,
