,nu_p,nu_p_excel,nu_cd,nu_cd_se,nu_p_b,nu_cd_excel,nu_p_b_excel,nu_cd_sub,nu_cd_se_sub,nu_p_b_sub,nu_cd_excel_sub,nu_p_b_excel_sub,SPR_p,SPR_p_excel,SPR_cd,SPR_cd_se,SPR_p_b,SPR_cd_excel,SPR_p_b_excel,SPR_cd_sub,SPR_cd_se_sub,SPR_p_b_sub,SPR_cd_excel_sub,SPR_p_b_excel_sub
ATP binding,0.27254015250892527,0.3,0.004417599452623381,0.023299066237213593,0.27403,0.00±0.02,0.3,0.004417599452623381,0.030878638861602147,0.32546,0.00±0.03,0.3,9.106954501713829e-06,<1e-05,0.09661349328842714,0.023166496605448804,0.0,0.10±0.02,<1e-05,0.09661349328842714,0.030958326734454315,0.00077,0.10±0.03,0.0008
magnesium ion binding,,,,,,,,,,,,,,,,,,,,,,,,
transcription corepressor activity,,,,,,,,,,,,,,,,,,,,,,,,
RNA binding,,,,,,,,,,,,,,,,,,,,,,,,
actin binding,,,,,,,,,,,,,,,,,,,,,,,,
GTPase activity,,,,,,,,,,,,,,,,,,,,,,,,
protein kinase activity,,,,,,,,,,,,,,,,,,,,,,,,
protein serine/threonine kinase activity,,,,,,,,,,,,,,,,,,,,,,,,
ubiquitin-protein transferase activity,,,,,,,,,,,,,,,,,,,,,,,,
guanyl-nucleotide exchange factor activity,,,,,,,,,,,,,,,,,,,,,,,,
GTPase activator activity,,,,,,,,,,,,,,,,,,,,,,,,
signaling receptor binding,,,,,,,,,,,,,,,,,,,,,,,,
structural molecule activity,,,,,,,,,,,,,,,,,,,,,,,,
calcium ion binding,,,,,,,,,,,,,,,,,,,,,,,,
calmodulin binding,,,,,,,,,,,,,,,,,,,,,,,,
microtubule binding,,,,,,,,,,,,,,,,,,,,,,,,
zinc ion binding,,,,,,,,,,,,,,,,,,,,,,,,
ATP hydrolysis activity,,,,,,,,,,,,,,,,,,,,,,,,
enzyme binding,,,,,,,,,,,,,,,,,,,,,,,,
protein kinase binding,,,,,,,,,,,,,,,,,,,,,,,,
protein domain specific binding,,,,,,,,,,,,,,,,,,,,,,,,
small GTPase binding,,,,,,,,,,,,,,,,,,,,,,,,
ubiquitin protein ligase binding,,,,,,,,,,,,,,,,,,,,,,,,
histone binding,,,,,,,,,,,,,,,,,,,,,,,,
identical protein binding,,,,,,,,,,,,,,,,,,,,,,,,
protein homodimerization activity,,,,,,,,,,,,,,,,,,,,,,,,
protein-containing complex binding,,,,,,,,,,,,,,,,,,,,,,,,
cadherin binding,,,,,,,,,,,,,,,,,,,,,,,,
metal ion binding,,,,,,,,,,,,,,,,,,,,,,,,
protein heterodimerization activity,,,,,,,,,,,,,,,,,,,,,,,,
protein dimerization activity,,,,,,,,,,,,,,,,,,,,,,,,
actin filament binding,,,,,,,,,,,,,,,,,,,,,,,,
molecular adaptor activity,,,,,,,,,,,,,,,,,,,,,,,,
ubiquitin protein ligase activity,,,,,,,,,,,,,,,,,,,,,,,,
protein serine kinase activity,,,,,,,,,,,,,,,,,,,,,,,,
